2	3	21	26	37	40
7	15	32	36	39	40
13	20	26	27	38	45
1	15	18	22	40	43
3	15	21	33	39	42
8	15	20	37	38	40
11	16	20	21	36	37
13	19	32	37	38	44
3	7	11	32	35	44
5	8	10	30	32	34
13	21	23	26	34	43
2	9	12	22	28	36
11	18	23	24	35	37
11	14	27	29	33	39
7	10	17	21	29	33
10	12	24	29	33	45
15	27	37	39	40	45
9	14	23	25	27	43
3	10	31	39	40	44
13	27	30	35	40	45
2	10	26	38	44	45
1	2	7	10	18	31
6	16	22	25	31	40
3	5	10	24	25	31
3	6	18	24	39	44
3	9	13	28	31	36
6	11	27	28	32	38
9	13	25	28	40	44
11	21	22	24	25	29
2	3	10	27	38	42
2	11	13	22	35	44
10	15	16	20	33	38
5	7	20	24	27	36
2	6	9	22	23	40
1	9	18	21	27	33
3	6	8	30	40	42
5	12	23	30	33	44
1	8	14	16	18	21
6	14	15	30	31	40
5	14	20	27	41	43
2	12	14	33	34	42
3	13	14	21	32	37
5	18	21	26	28	40
6	18	20	24	27	37
2	7	17	35	38	42
11	14	26	31	35	45
4	16	19	36	42	45
4	11	15	38	41	43
13	16	18	27	36	45
17	30	32	35	39	45
7	17	19	21	24	25
3	15	20	24	38	44
17	22	27	33	35	40
3	11	15	19	29	42
10	15	19	22	35	37
8	14	36	37	44	45
6	18	22	24	32	44
2	3	10	29	38	41
4	8	13	21	32	35
2	6	13	15	39	44
5	7	16	19	23	39
1	12	14	15	31	35
1	3	7	13	23	42
6	12	20	33	44	45
2	23	32	40	41	44
7	9	27	28	34	41
2	24	25	28	39	40
18	32	36	40	42	43
1	7	21	24	27	38
1	5	7	9	20	41
1	9	18	34	36	41
1	2	19	24	43	44
12	27	29	37	41	42
1	11	12	18	27	40
1	20	29	34	36	43
5	31	32	34	36	38
13	14	34	37	38	40
1	11	27	28	30	37
3	18	20	29	35	43
8	9	27	29	40	44
3	10	28	31	36	40
5	9	22	36	37	45
18	29	31	33	38	41
4	5	6	7	8	9
